"","vote2019","vote2021","vote2021_2","n","pct","moe"
"1","Conservative","Conservative","Conservative",144.616557274326,0.145327537286011,0.0218975149658446
"2","Conservative","Did Not Vote","Did Not Vote",78.1200788342315,0.0785041414589353,0.016711444739286
"3","Conservative","Green Party","Conservative",2.32608495158157,0.00233752070926538,0.00300047886758176
"4","Conservative","Green Party","Labour",1.57037277143485,0.00157809321280359,0.00246629144154049
"5","Conservative","Green Party","Wasted",2.65534659845237,0.00266840110888449,0.00320528288770966
"6","Conservative","Labour","Labour",20.0890163292784,0.0201877801868458,0.00873849673931243
"7","Conservative","Liberal Democrat","Conservative",1.35950332104177,0.0013661870625531,0.0022949817520803
"8","Conservative","Liberal Democrat","Labour",1.06051937627851,0.0010657332196499,0.00202727995527016
"9","Conservative","Liberal Democrat","Wasted",1.93243765414956,0.00194193811918498,0.0027353733792131
"10","Conservative","Reform UK","Conservative",4.63057225056262,0.00465333758514715,0.0042285403739177
"11","Conservative","Reform UK","Wasted",7.56065118697095,0.00759782170167946,0.0053952232782381
"12","Conservative","Yorkshire Party","Conservative",14.4267733858457,0.0144976998945648,0.00742676005694077
"13","Conservative","Yorkshire Party","Labour",1.64939867755544,0.00165750763487778,0.00252748487909005
"14","Conservative","Yorkshire Party","Wasted",8.76626066716302,0.00880935833335729,0.00580592944078562
"15","Did Not Vote","Conservative","Conservative",5.99751955941746,0.00602700523247458,0.0048090478240952
"16","Did Not Vote","Did Not Vote","Did Not Vote",192.64144991724,0.193588535250308,0.0245493039371197
"17","Did Not Vote","Green Party","Labour",4.01700014953305,0.0040367489726767,0.00393965823006724
"18","Did Not Vote","Green Party","Wasted",2.18745881958476,0.00219821304805224,0.00290989989272006
"19","Did Not Vote","Labour","Labour",13.2885711991687,0.0133539019516395,0.00713190931080588
"20","Did Not Vote","Yorkshire Party","Labour",4.2718662184142,0.00429286804248698,0.00406219341253995
"21","Did Not Vote","Yorkshire Party","Wasted",5.66228760526698,0.00569012517368677,0.00467350601027755
"22","Green Party","Did Not Vote","Did Not Vote",1.82453432019495,0.00183350429885259,0.00265805204083251
"23","Green Party","Green Party","Labour",3.12631746253806,0.00314168741234146,0.003477116344604
"24","Green Party","Green Party","Wasted",2.29663419934047,0.00230792516795886,0.00298146792773104
"25","Green Party","Labour","Labour",4.90323338698358,0.0049273392085885,0.00435065501026518
"26","Green Party","Liberal Democrat","Wasted",0.76547761947443,0.000769240945729018,0.00172260265741661
"27","Green Party","Yorkshire Party","Wasted",3.60985507861167,0.00362760224985089,0.00373543939226955
"28","Labour","Conservative","Conservative",5.53330454588215,0.00556050799343225,0.00462027084765279
"29","Labour","Did Not Vote","Did Not Vote",78.9629974639755,0.0793512041390461,0.0167936375049758
"30","Labour","Green Party","Conservative",2.07820155171878,0.00208841863744792,0.00283645456099769
"31","Labour","Green Party","Labour",38.518208014303,0.0387075755148178,0.0119852407965404
"32","Labour","Green Party","Wasted",13.6307402354221,0.0136977531973851,0.00722188716666197
"33","Labour","Labour","Labour",193.777076908642,0.194729745337496,0.0246041290186741
"34","Labour","Liberal Democrat","Labour",2.96481656067768,0.00297939252177567,0.00338638980687811
"35","Labour","Liberal Democrat","Wasted",2.66292267700033,0.00267601443379287,0.00320983994146578
"36","Labour","Other","Wasted",1.11628512215604,0.00112177312729288,0.00207983943516177
"37","Labour","Reform UK","Labour",1.06950571687394,0.00107476373989296,0.00203584174141875
"38","Labour","Reform UK","Wasted",1.19680954733721,0.00120269343561382,0.00215346179205043
"39","Labour","Yorkshire Party","Labour",3.89780726133757,0.00391697009514058,0.00388100245648608
"40","Labour","Yorkshire Party","Wasted",10.3261616939557,0.0103769283191624,0.00629637133910214
"41","Liberal Democrat","Conservative","Conservative",3.40005842277755,0.00341677416835135,0.00362565054869219
"42","Liberal Democrat","Did Not Vote","Did Not Vote",8.42635531915176,0.00846778190484976,0.0056932370406903
"43","Liberal Democrat","Green Party","Labour",2.74406814002721,0.00275755883317488,0.00325824538798453
"44","Liberal Democrat","Green Party","Wasted",3.31122281209686,0.00332750181415588,0.00357813240316296
"45","Liberal Democrat","Labour","Labour",13.8718818432536,0.0139400803324231,0.00728459330854881
"46","Liberal Democrat","Liberal Democrat","Conservative",0.499803048273352,0.000502260235636951,0.00139211888605646
"47","Liberal Democrat","Liberal Democrat","Labour",2.7001906485313,0.00271346562627263,0.00323216228905443
"48","Liberal Democrat","Liberal Democrat","Wasted",4.46774660915113,0.00448971144219825,0.00415387200417592
"49","Liberal Democrat","Reform UK","Wasted",0.631250243735925,0.000634353666429194,0.00156440413223165
"50","Liberal Democrat","Yorkshire Party","Conservative",1.08710285388502,0.00109244738990721,0.00205250362684448
"51","Liberal Democrat","Yorkshire Party","Labour",1.01869486687245,0.00102370308793651,0.00198694395644808
"52","Liberal Democrat","Yorkshire Party","Wasted",3.608739995042,0.00362648168418328,0.0037348645096355
"53","Other","Conservative","Conservative",12.0734468476858,0.0121328036706018,0.00680222332543293
"54","Other","Did Not Vote","Did Not Vote",22.1457718088664,0.0222546473165966,0.00916524876952067
"55","Other","Green Party","Wasted",1.74714626355144,0.00175573577843333,0.00260117164094069
"56","Other","Labour","Labour",7.47527976781158,0.00751203057004916,0.00536490848305966
"57","Other","Liberal Democrat","Conservative",1.70031604086329,0.00170867532379317,0.00256613465292893
"58","Other","Liberal Democrat","Labour",0.918940857328257,0.000923458656630047,0.00188724867166905
"59","Other","Other","Wasted",1.53999747713946,0.00154756858410624,0.00244235990085328
"60","Other","Reform UK","Conservative",0.690160008010221,0.000693553049442047,0.00163572468045663
"61","Other","Reform UK","Wasted",2.2317375490514,0.00224270946553599,0.00293913802886584
"62","Other","Yorkshire Party","Conservative",1.39994829389606,0.00140683087548362,0.00232882181230936
"63","Other","Yorkshire Party","Wasted",6.32726476000113,0.00635837156310713,0.00493865694398045
